status,code,name,color,price,vin,dealership
inventory,GUN,"WRX, manual",Crystal White Pearl,"$27,552",JF1VA1B61G9803731,kearnymesa.subaru
in transit,GUN,"WRX, manual",Crystal White Pearl,"$27,552",JF1VA1B62G9804936,bobbaker-carlsbad.subaru
inventory,GUN,"WRX, manual",ICE Silver,"$27,552",JF1VA1B66G9802526,glendale.subaru
inventory,GUN,"WRX, manual",ICE Silver,"$27,552",JF1VA1B69G9803248,renicksubaru
inventory,GUN,"WRX, manual",ICE Silver,"$27,552",JF1VA1B68G9802723,renicksubaru
in transit,GUN,"WRX, manual",Lapis Blue Pearl,"$27,552",JF1VA1B69G9803833,bobbaker-carlsbad.subaru
in transit,GUN,"WRX, manual",Crystal Black Silica,"$27,628",JF1VA1B61G9804443,elcajon.subaru
inventory,GUN,"WRX, manual",Crystal White Pearl,"$27,628",JF1VA1B6XG9803677,palmsprings.subaru
inventory,GUN,"WRX, manual",Crystal White Pearl,"$27,628",JF1VA1B69G9803945,palmsprings.subaru
inventory,GUN,"WRX, manual",Dark Gray,"$27,628",JF1VA1B61G9803664,southcoast.subaru
in transit,GUN,"WRX, manual",Dark Gray,"$27,628",JF1VA1B63G9804105,elcajon.subaru
in transit,GUN,"WRX, manual",Dark Gray,"$27,628",JF1VA1B62G9804449,frank.subaru
inventory,GUN,"WRX, manual",ICE Silver,"$27,628",JF1VA1B61G9804071,frank.subaru
inventory,GUN,"WRX, manual",ICE Silver,"$27,628",JF1VA1B60G9804000,frank.subaru
in transit,GUN,"WRX, manual",WR Blue Pearl,"$27,628",JF1VA1B69G9804951,frank.subaru
in transit,?, 2016 Subaru WRX Sedan,Crystal Black Silica,"$27,630",?,temecula.subaru
inventory,?, 2016 Subaru WRX Sedan,ICE Silver,"$27,630",?,temecula.subaru
in transit,?, 2016 Subaru WRX Sedan,ICE Silver,"$27,630",?,temecula.subaru
in transit,?, 2016 Subaru WRX Sedan,Lapis Blue Pearl,"$27,630",?,temecula.subaru
in transit,GUN,"WRX, manual",Crystal Black Silica,"$27,630",JF1VA1B6XG9804182,renicksubaru
in transit,GUN,"WRX, manual",Crystal White Pearl,"$27,630",JF1VA1B67G9804902,timmonssubaru
in transit,GUN,"WRX, manual",Crystal White Pearl,"$27,630",JF1VA1B60G9805017,renicksubaru
inventory,GUN,"WRX, manual",Dark Gray,"$27,630",JF1VA1B65G9804056,subarupacific
in transit,GUN,"WRX, manual",Dark Gray,"$27,630",JF1VA1B66G9805197,subarupacific
in transit,GUN,"WRX, manual",Dark Gray,"$27,630",JF1VA1B65G9804719,puente-hills.subaru
in transit,GUN,"WRX, manual",Dark Gray,"$27,630",JF1VA1B63G9804993,puente-hills.subaru
inventory,GUN,"WRX, manual",Dark Gray,"$27,630",JF1VA1B69G9803203,ontario-ca.subaru
inventory,GUN,"WRX, manual",Dark Gray,"$27,630",JF1VA1B69G9803329,ontario-ca.subaru
in transit,GUN,"WRX, manual",Dark Gray,"$27,630",JF1VA1B68G9804486,sanbernardino.subaru
in transit,GUN,"WRX, manual",Dark Gray,"$27,630",JF1VA1B68G9804715,sanbernardino.subaru
in transit,GUN,"WRX, manual",ICE Silver,"$27,630",JF1VA1B69G9805341,subarupacific
inventory,GUN,"WRX, manual",ICE Silver,"$27,630",JF1VA1B66G9804146,timmonssubaru
in transit,GUN,"WRX, manual",ICE Silver,"$27,630",JF1VA1B62G9803625,timmonssubaru
inventory,GUN,"WRX, manual",ICE Silver,"$27,630",JF1VA1B69G9803864,timmonssubaru
in transit,GUN,"WRX, manual",ICE Silver,"$27,630",JF1VA1B66G9803854,puente-hills.subaru
inventory,GUN,"WRX, manual",ICE Silver,"$27,630",JF1VA1B62G9803043,singh.subaru
inventory,GUN,"WRX, manual",Lapis Blue Pearl,"$27,630",JF1VA1B69G9802990,subarupacific
in transit,GUN,"WRX, manual",Lapis Blue Pearl,"$27,630",JF1VA1B64G9805036,puente-hills.subaru
in transit,GUN,"WRX, manual",WR Blue Pearl,"$27,630",JF1VA1B66G9804986,timmonssubaru
in transit,GUN,"WRX, manual",WR Blue Pearl,"$27,630",JF1VA1B67G9805225,renicksubaru
in transit,GUN,"WRX, manual",WR Blue Pearl,"$27,630",JF1VA1B65G9805112,puente-hills.subaru
in transit,GUN,"WRX, manual",WR Blue Pearl,"$27,630",JF1VA1B64G9804954,puente-hills.subaru
in transit,GUN,"WRX, manual",Crystal Black Silica,"$27,728",JF1VA1B69G9805257,ladin.subaru
in transit,GUN,"WRX, manual",Crystal White Pearl,"$27,728",JF1VA1B63G9805187,subarushermanoaks
in transit,GUN,"WRX, manual",Crystal White Pearl,"$27,728",JF1VA1B64G9805134,ladin.subaru
in transit,GUN,"WRX, manual",Dark Gray,"$27,728",JF1VA1B67G9804429,subarusantamonica
in transit,GUN,"WRX, manual",Dark Gray,"$27,728",JF1VA1B69G9803928,ladin.subaru
in transit,GUN,"WRX, manual",ICE Silver,"$27,728",JF1VA1B65G9805191,subarushermanoaks
in transit,GUN,"WRX, manual",ICE Silver,"$27,728",JF1VA1B60G9805146,galpin.subaru
in transit,GUN,"WRX, manual",ICE Silver,"$27,728",JF1VA1B63G9804329,galpin.subaru
in transit,GUN,"WRX, manual",Lapis Blue Pearl,"$27,728",JF1VA1B61G9804894,sangera.subaru
in transit,GUN,"WRX, manual",WR Blue Pearl,"$27,728",JF1VA1B68G9805170,subarushermanoaks
in transit,GUN,"WRX, manual",WR Blue Pearl,"$27,728",JF1VA1B60G9803896,ladin.subaru
inventory,GUN,"WRX, manual",WR Blue Pearl,"$27,788",JF1VA1B67G9802955,glendale.subaru
in transit,?, 2016 Subaru WRX Sedan,Dark Gray,"$27,886",?,kirby-ventura.subaru
in transit,?, 2016 Subaru WRX Sedan,WR Blue Pearl,"$27,886",?,kirby-ventura.subaru
in transit,GUN,"WRX, manual",Crystal White Pearl,"$27,886",JF1VA1B64G9804811,av.subaru
inventory,GUN,"WRX, manual",Dark Gray,"$27,886",JF1VA1B67G9803359,sangera.subaru
inventory,GUN,"WRX, manual",ICE Silver,"$27,886",JF1VA1B67G9802874,subarusantamonica
inventory,GUN,"WRX, manual",ICE Silver,"$27,886",JF1VA1B63G9803147,subarushermanoaks
inventory,?, 2016 Subaru WRX Premium (M6) Sedan,Crystal White Pearl,"$29,852",?,temecula.subaru
inventory,GUO,"WRX Premium, manual",Crystal Black Silica,"$29,852",JF1VA1E61G9803692,kearnymesa.subaru
inventory,GUO,"WRX Premium, manual",Crystal White Pearl,"$29,852",JF1VA1E61G9803515,renicksubaru
inventory,GUO,"WRX Premium, manual",Crystal White Pearl,"$29,852",JF1VA1E63G9803161,singh.subaru
inventory,GUO,"WRX Premium, manual",Dark Gray,"$29,852",JF1VA1E60G9803778,kearnymesa.subaru
in transit,GUO,"WRX Premium, manual",Dark Gray,"$29,852",JF1VA1E62G9804074,bobbaker-carlsbad.subaru
inventory,GUO,"WRX Premium, manual",ICE Silver,"$29,852",JF1VA1E65G9803467,southcoast.subaru
inventory,GUO,"WRX Premium, manual",ICE Silver,"$29,852",JF1VA1E64G9804397,elcajon.subaru
